id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
1,profiminer.ru,https://profiminer.ru/vacancy/5864/,Водитель вахтовки,confidential,,,RUB,,2026-07-13T17:45:47+03:00,2026-07-13T17:45:47+03:00,Билибино,,,В ваши задачи будет входить: Развоз пассажиров на объект золотодобычи посменно с другим водителем. Объект в 25-30 минутах от общежития,,0,,2026-09-08T16:02:47.802572
2,profiminer.ru,https://profiminer.ru/vacancy/4903/,Взрывник подземный,confidential,250000.0,,RUB,,2025-07-23T00:38:01+03:00,2025-07-23T00:38:01+03:00,Билибино,,,Ведение ВР; Погрузочно-разгрузочные работы с ВМ.,,0,,2026-09-08T16:02:49.695155
86,profiminer.ru,https://profiminer.ru/vacancy/4903/,Взрывник подземный,confidential,250000.0,,RUB,,2025-07-23T00:38:01+03:00,2025-07-23T00:38:01+03:00,Билибино,,,Ведение ВР; Погрузочно-разгрузочные работы с ВМ.,,1,20250915061326,2026-09-08T16:44:08.501624
3,profiminer.ru,https://profiminer.ru/vacancy/4902/,Электромонтажник,confidential,250000.0,,RUB,,2025-07-23T00:35:48+03:00,2025-07-23T00:35:48+03:00,Билибино,,,,,0,,2026-09-08T16:02:52.418609
87,profiminer.ru,https://profiminer.ru/vacancy/4902/,Электромонтажник,confidential,250000.0,,RUB,,2025-07-23T00:35:48+03:00,2025-07-23T00:35:48+03:00,Билибино,,,,,1,20250907134302,2026-09-08T16:44:49.481644
4,profiminer.ru,https://profiminer.ru/vacancy/4901/,Электрослесарь подземный,confidential,,200000.0,RUB,,2025-07-23T00:31:49+03:00,2025-07-23T00:31:49+03:00,Билибино,,,"Техническое обслуживание и ремонт электрооборудования, электроустановок Устранение неисправностей оборудования на закрепленных участках Ведение технической и оперативной документации Контроль за правильностью эксплуатации электрооборудования персоналом",,0,,2026-09-08T16:02:57.582243
88,profiminer.ru,https://profiminer.ru/vacancy/4901/,Электрослесарь подземный,confidential,,200000.0,RUB,,2025-07-23T00:31:49+03:00,2025-07-23T00:31:49+03:00,Билибино,,,"Техническое обслуживание и ремонт электрооборудования, электроустановок Устранение неисправностей оборудования на закрепленных участках Ведение технической и оперативной документации Контроль за правильностью эксплуатации электрооборудования персоналом",,1,20250907150650,2026-09-08T16:45:26.159419
5,profiminer.ru,https://profiminer.ru/vacancy/4900/,Электромонтер по ремонту воздушных ЛЭП,confidential,156600.0,,RUB,,2025-07-23T00:27:28+03:00,2025-07-23T00:27:28+03:00,Билибино,,,"Ремонт и техническое обслуживание электроустановок до и выше 1000В; Верхолазные работы; Обслуживание и ремонт поверхностного комплекса рудника; Трансформаторные подстанции, кабельные и воздушные линии электропередач, распределительные устройства до и выше 1000В, осветительные и силовые сети",,0,,2026-09-08T16:03:00.341914
89,profiminer.ru,https://profiminer.ru/vacancy/4900/,Электромонтер по ремонту воздушных ЛЭП,confidential,156600.0,,RUB,,2025-07-23T00:27:28+03:00,2025-07-23T00:27:28+03:00,Билибино,,,"Ремонт и техническое обслуживание электроустановок до и выше 1000В; Верхолазные работы; Обслуживание и ремонт поверхностного комплекса рудника; Трансформаторные подстанции, кабельные и воздушные линии электропередач, распределительные устройства до и выше 1000В, осветительные и силовые сети",,1,20250907144340,2026-09-08T16:45:35.167629
6,profiminer.ru,https://profiminer.ru/vacancy/4899/,Мастер смены ЗИФ,confidential,200000.0,250000.0,RUB,,2025-07-23T00:24:37+03:00,2025-07-23T00:24:37+03:00,Билибино,,,"Ведение и контроль технологическим процессом обогатительной фабрикой; Выдача наряд заданий; Обеспечение безопасной работы подчиненными сотрудниками; Проверка состояния рабочих мест, исправность оборудования; Контроль за соблюдением рабочими требований правил и инструкций по технике безопасности и охраны труда.",,0,,2026-09-08T16:03:04.259797
